category,filename,snr,psnr_denoised,ssim_denoised,mse_denoised,psnr_noisy,ssim_noisy,mse_noisy,psnr_improvement,ssim_improvement
BPSK,BPSK_-10dB_1.png,-10,11.531339720365057,0.0030635572481440406,4570.317681760204,18.443809783139777,0.027515610703099807,930.4635881696429,-6.9124700627747195,-0.024452053454955765
BPSK,BPSK_-10dB_10.png,-10,11.579012187546411,0.0032458814695021016,4520.423688616072,19.25804399914927,0.0390143472666603,771.3934749681123,-7.679031811602858,-0.0357684657971582
BPSK,BPSK_-10dB_100.png,-10,11.456291856006345,0.0023955917355219175,4649.980966996173,18.992736862109886,0.04664827500948183,819.9864477040817,-7.536445006103541,-0.04425268327395991
BPSK,BPSK_-10dB_101.png,-10,11.43096701970616,0.0026604922367942587,4677.175422512755,19.05453524964901,0.04380142071074669,808.4009885204082,-7.623568229942851,-0.04114092847395243
BPSK,BPSK_-10dB_102.png,-10,11.442937789769907,0.0037677553309373654,4664.301139987245,18.680084674521286,0.026761555570172908,881.1947345344388,-7.237146884751379,-0.022993800239235543
BPSK,BPSK_-10dB_103.png,-10,11.517406621858388,0.0028322659260548674,4585.003786670918,18.13642218727866,0.035877823591974604,998.7071109693877,-6.619015565420273,-0.03304555766591974
BPSK,BPSK_-10dB_104.png,-10,11.497681627681708,0.002659000388849095,4605.875538105867,17.988797133912588,0.021848888440100384,1033.2386599170918,-6.49111550623088,-0.01918988805125129
BPSK,BPSK_-10dB_105.png,-10,11.521453426785563,0.0030208151890425807,4580.7334183673465,19.32896519727878,0.04604221702631613,758.898756377551,-7.8075117704932175,-0.04302140183727355
BPSK,BPSK_-10dB_106.png,-10,11.391908370693411,0.005155056904226566,4719.429727359694,17.76710791913215,0.027792727007677438,1087.3505261479593,-6.37519954843874,-0.02263767010345087
BPSK,BPSK_-10dB_107.png,-10,11.515047986882568,0.003561753330744793,4587.494559151785,17.203593526282503,0.011792463103219124,1238.0010363520407,-5.688545539399936,-0.00823070977247433
BPSK,BPSK_-10dB_108.png,-10,11.495615341733343,0.0023301909865509228,4608.0674426020405,18.483293506864477,0.044071742303982725,922.042649872449,-6.987678165131134,-0.041741551317431805
BPSK,BPSK_-10dB_109.png,-10,11.44649156019254,0.0025816337742378763,4660.485969387755,19.15761665478763,0.029099306564549645,789.4392139668367,-7.711125094595092,-0.02651767279031177
BPSK,BPSK_-10dB_11.png,-10,11.378747867561811,0.002631022045067049,4733.752790178572,17.702183880134697,0.02238944062213863,1103.7277782206634,-6.323436012572886,-0.01975841857707158
BPSK,BPSK_-10dB_110.png,-10,11.384125169499795,0.0026185443303890985,4727.895228794643,18.724430443864954,0.02473392310261221,872.2426458864796,-7.340305274365159,-0.02211537877222311
BPSK,BPSK_-10dB_111.png,-10,11.472409505917467,0.004640053283062242,4632.755819515306,18.230583587715714,0.023274568494394753,977.2867307079082,-6.758174081798247,-0.01863451521133251
BPSK,BPSK_-10dB_112.png,-10,11.427604325717697,0.0033615690573516673,4680.798309948979,16.991398315696035,0.023542817799830088,1299.991549744898,-5.563793989978338,-0.02018124874247842
BPSK,BPSK_-10dB_113.png,-10,11.485243597776558,0.0019024763500863002,4619.085499043367,17.316933590717486,0.01591314214979884,1206.1102319834183,-5.8316899929409285,-0.014010665799712541
BPSK,BPSK_-10dB_114.png,-10,11.480132618669607,0.0028697231089542213,4624.524653220663,17.49098449417764,0.03453133523171972,1158.7290935905612,-6.010851875508031,-0.031661612122765505
BPSK,BPSK_-10dB_115.png,-10,11.45898047767162,0.0032157392868099157,4647.103156887755,18.14628829432685,0.0407555017463395,996.4408681441327,-6.687307816655231,-0.03753976245952958
BPSK,BPSK_-10dB_116.png,-10,11.36634917521225,0.002464982908301795,4747.286511479592,18.671513002369526,0.03838440488535638,882.9356664540817,-7.305163827157276,-0.03591942197705459
BPSK,BPSK_-10dB_117.png,-10,11.49268374886525,0.003501491404305028,4611.179049744898,18.75184922757913,0.048643015426740224,866.7531688456633,-7.259165478713879,-0.045141524022435195
BPSK,BPSK_-10dB_118.png,-10,11.936861276224073,0.041644906989369374,4162.883270886479,17.488940801931573,0.012850759245687708,1159.2744937818877,-5.5520795257075,0.028794147743681664
BPSK,BPSK_-10dB_119.png,-10,11.495780073470351,0.0026065737232984945,4607.892657844388,17.85124719526098,0.0346548979007235,1066.4871851084183,-6.35546712179063,-0.03204832417742501
BPSK,BPSK_-10dB_12.png,-10,11.451188191632335,0.004235643852520793,4655.448660714285,18.493064765029324,0.02303815951459914,919.9704639668367,-7.041876573396989,-0.018802515662078346
BPSK,BPSK_-10dB_120.png,-10,11.48652382461168,0.00241193850503414,4617.724071269133,19.468222863411576,0.08400341934082382,734.9504743303571,-7.981699038799896,-0.08159148083578968
BPSK,BPSK_-10dB_121.png,-10,11.45570157527478,0.003089692216442407,4650.61302216199,16.72544097810271,0.021295622756115906,1382.089803890306,-5.2697394028279305,-0.0182059305396735
BPSK,BPSK_-10dB_122.png,-10,11.418152858727169,0.003565879453394017,4690.996133609694,18.994200004691894,0.03332742268049384,819.7102399553571,-7.576047145964726,-0.02976154322709982
BPSK,BPSK_-10dB_123.png,-10,11.474899181566059,0.003271097011177516,4630.100765306122,18.37021116731018,0.029123155357107855,946.3662507971939,-6.895311985744122,-0.025852058345930337
BPSK,BPSK_-10dB_124.png,-10,11.719346402806321,0.02478871719336602,4376.689333545918,17.103142733465912,0.025469683428791624,1266.9692881058672,-5.383796330659591,-0.0006809662354256042
BPSK,BPSK_-10dB_125.png,-10,11.500273554228894,0.002984658364424098,4603.127511160715,18.83325256313001,0.07635542386868313,850.658223054847,-7.332979008901116,-0.07337076550425903
